id,titulo,tipo,genero,ano,rating,duracion,plataforma,idioma,pais,director,clasificacion,votos,presupuesto,ingresos,ganancias,actor_principal,estudio,fecha_estreno,sinopsis
27,Avatar: Renderizado Vol. 2,Película,Comedia,1992,9.7,183,"Apple TV+, Disney+",Portugués,USA,Martin Scorsese,NC-17,882756,64.2,80.6,16.4,Matthew McConaughey,Warner Bros.,1992-09-07,Una comedia hilarante sobre las complejidades de la vida cotidiana.
28,FastAPI veloz (2008),Serie,Aventura,2008,7.5,58,Apple TV+,Portugués,España,James Cameron,NC-17,531976,136.5,348.3,211.8,Christian Bale,Paramount Pictures,2008-11-03,Un misterio escalofriante que desvela secretos familiares ocultos.
29,Gladiador del backend Vol. 2,Película,Drama,2021,9.1,182,Apple TV+,Portugués,Japón,Quentin Tarantino,G,1083627,52.3,91.2,38.9,Robert Downey Jr.,A24,2021-02-22,Un análisis profundo del impacto social e histórico de las grandes eras.
30,Parque de Servidores Vol. 4,Película,"Documental, Terror",2014,8.8,138,"Netflix, Disney+",Portugués,España,Hayao Miyazaki,R,2412151,156.6,147.4,-9.2,Leonardo DiCaprio,Marvel Studios,2014-03-02,Un misterio escalofriante que desvela secretos familiares ocultos.
31,Cazadores de código (1985),Serie,C.Ficción,1985,6.4,37,Prime Video,Español,Japón,Christopher Nolan,R,337557,94.0,159.4,65.4,Christian Bale,Warner Bros.,1985-11-21,Un misterio escalofriante que desvela secretos familiares ocultos.
32,Inception: Loop Infinito (1988),Serie,"Aventura, Documental, Acción",1988,7.4,21,"Netflix, Disney+",Portugués,Japón,Steven Spielberg,PG,1058078,207.1,723.5,516.4,Cillian Murphy,Warner Bros.,1988-12-02,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
33,Pulp Python (2015),Película,"Romance, Aventura, C.Ficción",2015,8.8,81,"HBO Max, Netflix",Alemán,Japón,Quentin Tarantino,G,1570049,111.4,119.9,8.5,Robert Downey Jr.,Netflix Studio,2015-12-26,Un viaje fantástico a través de dimensiones inexploradas del universo.
34,FastAPI veloz Vol. 3,Película,Suspenso,2014,6.6,93,"Apple TV+, Disney+",Español,Canadá,Steven Spielberg,G,811768,63.4,247.6,184.2,Brad Pitt,A24,2014-02-07,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
35,Titanic: Bug Hundido Vol. 3,Serie,Documental,1998,7.0,46,"Netflix, Disney+",Español,España,James Cameron,PG-13,1821254,13.4,38.6,25.2,Brad Pitt,Warner Bros.,1998-04-19,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
36,En busca del commit perdido (2016),Película,"Romance, C.Ficción, Terror",2016,9.1,146,"Apple TV+, Prime Video",Inglés,Francia,Christopher Nolan,PG-13,467261,80.8,55.8,-25.0,Christian Bale,Marvel Studios,2016-10-10,Un viaje fantástico a través de dimensiones inexploradas del universo.
37,Parque de Servidores Vol. 3,Película,Suspenso,1974,6.2,90,Disney+,Portugués,USA,Steven Spielberg,PG-13,713744,59.0,185.2,126.2,Matthew McConaughey,Paramount Pictures,1974-03-26,Un análisis profundo del impacto social e histórico de las grandes eras.
38,SQL: El Imperio Contraataca (1984),Serie,"Drama, Suspenso, C.Ficción",1984,7.3,45,Disney+,Francés,España,Denis Villeneuve,R,561402,172.3,517.4,345.1,Robert Downey Jr.,Marvel Studios,1984-06-17,Un viaje fantástico a través de dimensiones inexploradas del universo.
39,La milla de código (1983),Película,Terror,1983,4.1,171,Apple TV+,Español,México,James Cameron,G,2379322,115.7,154.5,38.8,Natalie Portman,Universal Pictures,1983-09-03,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
40,El secreto de los datos Vol. 3,Serie,Terror,1982,7.7,47,"Disney+, Apple TV+",Español,Japón,Hayao Miyazaki,NC-17,1798628,7.3,13.4,6.1,Natalie Portman,Walt Disney Studios,1982-02-20,Un misterio escalofriante que desvela secretos familiares ocultos.
41,Pandas salvajes (1980),Película,"Documental, Crimen",1980,5.9,126,"Prime Video, HBO Max",Francés,Canadá,James Cameron,G,1528131,149.4,662.9,513.5,Tom Hanks,Universal Pictures,1980-07-06,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
42,En busca del commit perdido (1995),Película,"Documental, Comedia",1995,8.1,118,"HBO Max, Disney+",Inglés,España,Christopher Nolan,PG-13,2039915,46.4,147.4,101.0,Matthew McConaughey,Walt Disney Studios,1995-08-24,Una comedia hilarante sobre las complejidades de la vida cotidiana.
43,Avatar: Renderizado (1988),Serie,"Romance, Acción, Crimen",1988,8.5,47,HBO Max,Inglés,Canadá,Steven Spielberg,PG-13,2427253,64.6,73.6,9.0,Leonardo DiCaprio,A24,1988-12-28,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
44,La red de la IA Vol. 4,Serie,Acción,2000,5.7,24,"Apple TV+, Netflix",Español,España,Steven Spielberg,PG-13,1327462,196.7,202.9,6.2,Brad Pitt,Netflix Studio,2000-04-19,Un misterio escalofriante que desvela secretos familiares ocultos.
45,Crónicas de Git (1977),Serie,"C.Ficción, Comedia",1977,6.1,31,Apple TV+,Alemán,Canadá,Guillermo del Toro,G,1389339,74.5,151.3,76.8,Scarlett Johansson,Marvel Studios,1977-01-08,Un misterio escalofriante que desvela secretos familiares ocultos.
46,Cazadores de código Vol. 4,Película,"Romance, Terror",1986,7.1,108,Prime Video,Inglés,Reino Unido,Guillermo del Toro,PG-13,1701133,90.3,290.7,200.4,Tom Hanks,A24,1986-09-19,Un análisis profundo del impacto social e histórico de las grandes eras.
47,Inception: Loop Infinito Vol. 2,Película,"Terror, Suspenso, Romance",1989,9.4,176,"Apple TV+, Disney+",Español,USA,Denis Villeneuve,PG-13,1658705,70.8,202.4,131.6,Cillian Murphy,Netflix Studio,1989-08-28,Un análisis profundo del impacto social e histórico de las grandes eras.
48,Matrix Reloaded in Python Vol. 3,Serie,"Drama, Suspenso, Crimen",1976,7.0,26,Prime Video,Español,Reino Unido,Guillermo del Toro,G,1721176,74.8,201.1,126.3,Scarlett Johansson,Marvel Studios,1976-06-27,Un análisis profundo del impacto social e histórico de las grandes eras.
49,Stranger Code (2008),Película,Fantasía,2008,8.1,162,HBO Max,Portugués,Francia,Denis Villeneuve,R,2075579,134.3,138.8,4.5,Brad Pitt,A24,2008-11-12,Un análisis profundo del impacto social e histórico de las grandes eras.
50,Inception: Loop Infinito (1991),Serie,"Comedia, Fantasía, Romance",1991,5.8,34,HBO Max,Español,Japón,James Cameron,R,2104914,100.7,326.7,226.0,Scarlett Johansson,A24,1991-11-15,Un misterio escalofriante que desvela secretos familiares ocultos.
51,Django desencadenado (1983),Película,"Drama, Comedia, Acción",1983,6.5,173,Netflix,Alemán,Francia,Christopher Nolan,PG-13,530029,222.4,711.7,489.3,Brad Pitt,Marvel Studios,1983-09-11,Un misterio escalofriante que desvela secretos familiares ocultos.
52,La red de la IA (1999),Película,"Crimen, Fantasía, Terror",1999,1.9,87,Apple TV+,Español,México,Guillermo del Toro,NC-17,1917845,28.3,54.3,26.0,Tom Hanks,A24,1999-05-26,Un drama conmovedor que explora los límites de la mente y la tecnología.
53,El Padrino del código Vol. 4,Película,Comedia,1975,9.5,85,Disney+,Español,España,Guillermo del Toro,R,1003259,96.0,264.5,168.5,Natalie Portman,Netflix Studio,1975-10-11,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
54,Código de honor (1981),Serie,"Comedia, Fantasía",1981,6.4,42,"Netflix, HBO Max",Portugués,Japón,Guillermo del Toro,PG-13,1564591,151.0,214.1,63.1,Brad Pitt,A24,1981-07-19,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
55,Stranger Code Vol. 4,Película,"Acción, Fantasía",2011,7.3,209,"Netflix, HBO Max",Español,USA,James Cameron,PG,857074,148.5,294.0,145.5,Brad Pitt,Netflix Studio,2011-09-07,Un misterio escalofriante que desvela secretos familiares ocultos.
56,La teoría de las bases de datos Vol. 2,Serie,"Aventura, Drama, Fantasía",1980,5.3,44,"Netflix, HBO Max",Francés,Francia,Christopher Nolan,PG,56281,175.2,300.0,124.8,Joaquin Phoenix,Warner Bros.,1980-12-01,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
57,El Club de la Computación (2010),Película,"Fantasía, Crimen",2010,8.1,94,Prime Video,Inglés,Francia,Christopher Nolan,R,2182720,133.0,275.8,142.8,Matthew McConaughey,Warner Bros.,2010-09-23,Un drama conmovedor que explora los límites de la mente y la tecnología.
58,Pulp Python Vol. 3,Película,"Acción, Romance, Crimen",1993,9.4,93,Disney+,Alemán,España,Denis Villeneuve,PG,619787,172.9,549.2,376.3,Scarlett Johansson,Netflix Studio,1993-04-06,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
59,Avatar: Renderizado Vol. 1,Película,"Documental, C.Ficción",1987,6.8,86,HBO Max,Francés,Canadá,Martin Scorsese,G,1755740,236.4,117.3,-119.1,Meryl Streep,Paramount Pictures,1987-12-05,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
60,Interstellar II (1970),Película,"Aventura, Crimen",1970,6.9,173,Apple TV+,Alemán,Reino Unido,Christopher Nolan,G,474497,244.5,936.1,691.6,Leonardo DiCaprio,A24,1970-09-19,Un drama conmovedor que explora los límites de la mente y la tecnología.
61,Cazadores de código (1982),Serie,"Crimen, Comedia, Aventura",1982,5.7,35,"Apple TV+, Prime Video",Francés,Francia,Quentin Tarantino,G,2076038,26.6,90.2,63.6,Meryl Streep,Paramount Pictures,1982-01-10,Una comedia hilarante sobre las complejidades de la vida cotidiana.
62,Inception: Loop Infinito Vol. 4,Película,"Comedia, Fantasía, C.Ficción",2024,8.6,102,Disney+,Portugués,Francia,Martin Scorsese,R,1998342,222.3,951.7,729.4,Robert Downey Jr.,A24,2024-08-04,Un misterio escalofriante que desvela secretos familiares ocultos.
63,Inception: Loop Infinito Vol. 2,Serie,Documental,1996,7.7,37,Disney+,Español,Francia,Christopher Nolan,PG,83516,188.7,315.3,126.6,Tom Hanks,Walt Disney Studios,1996-12-28,Un análisis profundo del impacto social e histórico de las grandes eras.
64,El rey algoritmo Vol. 1,Película,"Suspenso, Acción, Documental",2010,5.9,188,"Disney+, Netflix",Francés,USA,Steven Spielberg,PG-13,1693989,241.0,341.0,100.0,Christian Bale,A24,2010-03-07,Un misterio escalofriante que desvela secretos familiares ocultos.
65,El precio del servidor (2005),Película,"C.Ficción, Drama",2005,9.1,163,Apple TV+,Portugués,Japón,Hayao Miyazaki,R,729439,58.6,138.7,80.1,Cillian Murphy,Paramount Pictures,2005-11-22,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
66,Donut Chart Adventure (2005),Serie,"Suspenso, Fantasía, Aventura",2005,8.2,44,Netflix,Inglés,Canadá,Martin Scorsese,G,496450,7.5,32.5,25.0,Joaquin Phoenix,Netflix Studio,2005-05-05,Un análisis profundo del impacto social e histórico de las grandes eras.
67,FastAPI veloz (2020),Serie,Drama,2020,4.8,57,"HBO Max, Netflix",Alemán,Francia,Christopher Nolan,PG-13,122065,234.4,279.3,44.9,Morgan Freeman,Warner Bros.,2020-08-11,Un misterio escalofriante que desvela secretos familiares ocultos.
68,Titanic: Bug Hundido (1987),Serie,"Comedia, Crimen, Aventura",1987,7.7,48,Disney+,Francés,Reino Unido,Christopher Nolan,R,681911,229.3,548.8,319.5,Natalie Portman,A24,1987-03-09,Un viaje fantástico a través de dimensiones inexploradas del universo.
69,La vida en la nube Vol. 2,Película,Comedia,1970,8.3,84,"HBO Max, Disney+",Francés,Canadá,Martin Scorsese,R,2354884,110.9,36.2,-74.7,Matthew McConaughey,Walt Disney Studios,1970-04-28,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
70,La red de la IA (1986),Película,"Suspenso, Drama",1986,6.8,132,Prime Video,Francés,Francia,Martin Scorsese,NC-17,889550,141.8,252.5,110.7,Natalie Portman,Marvel Studios,1986-10-25,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
71,Forrest Git Vol. 2,Serie,Fantasía,2026,6.0,39,"Apple TV+, HBO Max",Español,Reino Unido,Quentin Tarantino,PG-13,1854956,156.6,388.5,231.9,Cillian Murphy,Warner Bros.,2026-04-19,Un análisis profundo del impacto social e histórico de las grandes eras.
72,Búsqueda Binaria Vol. 3,Película,"C.Ficción, Documental, Comedia",1987,7.2,107,"Disney+, Prime Video",Alemán,Canadá,Steven Spielberg,R,1054548,188.2,571.6,383.4,Robert Downey Jr.,A24,1987-01-12,Un análisis profundo del impacto social e histórico de las grandes eras.
73,En busca del commit perdido (1998),Serie,Romance,1998,3.5,29,Prime Video,Español,Reino Unido,Steven Spielberg,PG-13,2272271,62.2,147.8,85.6,Meryl Streep,Universal Pictures,1998-07-27,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
74,La lista de bugs (1979),Película,C.Ficción,1979,6.9,113,"Prime Video, Apple TV+",Español,Japón,Quentin Tarantino,NC-17,1928909,145.1,140.7,-4.4,Meryl Streep,Paramount Pictures,1979-02-02,Una comedia hilarante sobre las complejidades de la vida cotidiana.
75,Cazadores de código (2026),Serie,"Comedia, Drama",2026,9.2,65,Apple TV+,Portugués,Francia,James Cameron,PG,1587813,65.9,37.9,-28.0,Robert Downey Jr.,Paramount Pictures,2026-04-20,Una comedia hilarante sobre las complejidades de la vida cotidiana.
76,La red de la IA (1983),Película,Documental,1983,5.4,168,Disney+,Español,Reino Unido,Hayao Miyazaki,G,885775,93.4,30.9,-62.5,Christian Bale,Universal Pictures,1983-08-12,Un drama conmovedor que explora los límites de la mente y la tecnología.
77,Forrest Git Vol. 1,Película,"Terror, Aventura, Crimen",2008,5.4,134,"Prime Video, Apple TV+",Portugués,Reino Unido,Steven Spielberg,G,1254843,86.4,377.9,291.5,Brad Pitt,A24,2008-05-20,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
78,Gladiador del backend (1978),Serie,"Terror, Drama",1978,9.7,61,Apple TV+,Inglés,USA,Quentin Tarantino,G,1715013,54.4,179.5,125.1,Joaquin Phoenix,Netflix Studio,1978-10-07,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
79,La red de la IA Vol. 2,Película,"Crimen, Suspenso",1996,9.5,182,"Disney+, Prime Video",Español,Canadá,Martin Scorsese,PG-13,2249508,147.8,259.1,111.3,Joaquin Phoenix,Columbia Pictures,1996-06-25,Un viaje fantástico a través de dimensiones inexploradas del universo.
80,Inception: Loop Infinito Vol. 2,Película,Acción,2022,8.4,163,"HBO Max, Disney+",Portugués,España,Steven Spielberg,PG-13,1127711,221.1,371.0,149.9,Scarlett Johansson,A24,2022-06-22,Una comedia hilarante sobre las complejidades de la vida cotidiana.
81,Forrest Git Vol. 2,Película,"Suspenso, Romance, Documental",2003,9.1,190,"Apple TV+, Netflix",Inglés,México,Hayao Miyazaki,PG-13,916382,31.1,75.7,44.6,Joaquin Phoenix,A24,2003-09-01,Un drama conmovedor que explora los límites de la mente y la tecnología.
82,La vida en la nube (1997),Serie,"Crimen, Acción, C.Ficción",1997,7.0,53,"HBO Max, Disney+",Español,USA,Quentin Tarantino,NC-17,90281,120.6,228.5,107.9,Joaquin Phoenix,Warner Bros.,1997-08-04,Un viaje fantástico a través de dimensiones inexploradas del universo.
83,FastAPI veloz (2002),Película,"C.Ficción, Fantasía, Acción",2002,5.3,96,"Netflix, Prime Video",Alemán,España,Steven Spielberg,R,2120490,152.9,372.0,219.1,Joaquin Phoenix,Columbia Pictures,2002-02-06,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
84,El rey algoritmo (1977),Serie,"Romance, Terror",1977,9.5,52,"Disney+, HBO Max",Portugués,USA,James Cameron,PG,716694,66.5,24.1,-42.4,Meryl Streep,Warner Bros.,1977-09-16,Un análisis profundo del impacto social e histórico de las grandes eras.
85,Parque de Servidores Vol. 3,Película,"Romance, Fantasía, Acción",2022,6.6,173,"Apple TV+, Prime Video",Portugués,España,Hayao Miyazaki,G,78726,240.8,595.4,354.6,Cillian Murphy,Walt Disney Studios,2022-04-12,Una comedia hilarante sobre las complejidades de la vida cotidiana.
86,Matrix Reloaded in Python (1994),Película,"Terror, Drama",1994,5.5,133,"Apple TV+, Disney+",Inglés,Japón,Guillermo del Toro,G,2447368,95.6,374.5,278.9,Robert Downey Jr.,Universal Pictures,1994-08-03,Un viaje fantástico a través de dimensiones inexploradas del universo.
87,La terminal de los secretos Vol. 1,Película,Aventura,2019,9.7,85,"Prime Video, Disney+",Español,Canadá,Guillermo del Toro,PG-13,1379006,8.1,13.3,5.2,Matthew McConaughey,Universal Pictures,2019-09-21,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
88,El Padrino del código (1978),Serie,"Romance, Acción, Fantasía",1978,7.2,45,Netflix,Español,Reino Unido,Christopher Nolan,NC-17,1505431,142.4,330.9,188.5,Christian Bale,Universal Pictures,1978-06-19,Un análisis profundo del impacto social e histórico de las grandes eras.
89,El precio del servidor Vol. 1,Serie,"Crimen, Fantasía",2012,5.2,54,Apple TV+,Español,Japón,Hayao Miyazaki,R,955424,224.0,482.2,258.2,Brad Pitt,Netflix Studio,2012-09-08,Un viaje fantástico a través de dimensiones inexploradas del universo.
90,El laberinto del silicio Vol. 1,Serie,"Aventura, Drama",2026,6.8,51,Apple TV+,Francés,Francia,Christopher Nolan,NC-17,969297,124.6,134.6,10.0,Matthew McConaughey,Universal Pictures,2026-02-09,Un misterio escalofriante que desvela secretos familiares ocultos.
91,Juego de Servidores (2007),Serie,"Acción, Crimen, Documental",2007,5.5,53,"HBO Max, Netflix",Portugués,Reino Unido,Hayao Miyazaki,PG-13,2118076,224.7,655.7,431.0,Leonardo DiCaprio,Warner Bros.,2007-07-14,Un análisis profundo del impacto social e histórico de las grandes eras.
92,El secreto de los datos (1995),Película,"Drama, Aventura",1995,5.8,140,Apple TV+,Inglés,Reino Unido,Martin Scorsese,NC-17,948778,93.1,380.0,286.9,Scarlett Johansson,Paramount Pictures,1995-11-17,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
93,La teoría de las bases de datos (1979),Película,"Fantasía, C.Ficción, Aventura",1979,8.9,133,Prime Video,Portugués,Japón,Denis Villeneuve,PG,1637411,94.1,277.2,183.1,Cillian Murphy,Walt Disney Studios,1979-12-04,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
94,El Padrino del código (2008),Serie,"Documental, Comedia",2008,5.4,32,Disney+,Español,Canadá,Christopher Nolan,G,1053779,82.0,94.5,12.5,Brad Pitt,Marvel Studios,2008-08-07,Un análisis profundo del impacto social e histórico de las grandes eras.
95,FastAPI veloz Vol. 1,Película,"Crimen, Romance, Aventura",1989,8.0,171,Disney+,Portugués,Canadá,Guillermo del Toro,PG-13,84132,21.3,90.6,69.3,Joaquin Phoenix,A24,1989-12-26,Un drama conmovedor que explora los límites de la mente y la tecnología.
96,La milla de código Vol. 3,Serie,Comedia,1971,7.9,27,Netflix,Portugués,España,James Cameron,PG-13,2464945,25.6,108.7,83.1,Natalie Portman,Columbia Pictures,1971-03-16,Un drama conmovedor que explora los límites de la mente y la tecnología.
97,Pulp Python Vol. 1,Película,"Documental, Acción",1973,5.2,140,Prime Video,Portugués,México,Martin Scorsese,R,128228,139.0,554.0,415.0,Joaquin Phoenix,Universal Pictures,1973-07-22,Un viaje fantástico a través de dimensiones inexploradas del universo.
98,Crónicas de Git (1973),Película,Acción,1973,8.9,173,Disney+,Español,Canadá,Steven Spielberg,NC-17,696680,117.2,221.1,103.9,Scarlett Johansson,Columbia Pictures,1973-03-07,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
99,La terminal de los secretos Vol. 1,Serie,C.Ficción,2021,7.6,27,"Apple TV+, Netflix",Alemán,Reino Unido,Martin Scorsese,G,1673480,93.9,75.8,-18.1,Leonardo DiCaprio,Netflix Studio,2021-02-10,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
100,La red de la IA (1985),Serie,"Terror, C.Ficción, Fantasía",1985,3.1,39,HBO Max,Alemán,USA,Christopher Nolan,PG,113769,184.2,355.4,171.2,Morgan Freeman,Netflix Studio,1985-09-15,Un análisis profundo del impacto social e histórico de las grandes eras.
101,Pulp Python Vol. 1,Serie,"Acción, Drama",2012,6.5,40,"Apple TV+, Prime Video",Francés,USA,Christopher Nolan,G,387960,138.1,150.5,12.4,Brad Pitt,A24,2012-10-10,Un misterio escalofriante que desvela secretos familiares ocultos.
102,En busca del commit perdido Vol. 4,Serie,Romance,2012,6.4,33,HBO Max,Francés,México,Quentin Tarantino,NC-17,2204617,235.0,283.0,48.0,Natalie Portman,Walt Disney Studios,2012-08-24,Un viaje fantástico a través de dimensiones inexploradas del universo.
